R:A::C:P,0,1,2 3,4 5 6
0,0.3150684931506849,0.1780821917808219,0.1506849315068493,0.3561643835616438
1,0.21428571428571427,0.25,0.2357142857142857,0.3
2 3,0.12162162162162163,0.17567567567567569,0.32432432432432434,0.3783783783783784
4 5 6,0.1262135922330097,0.12135922330097088,0.2524271844660194,0.5
