R:A::C:P,0,1 3 4,2 5 6
0,0.48148148148148145,0.4074074074074074,0.1111111111111111
1 3 4,0.22058823529411764,0.5294117647058824,0.25
2 5 6,0.16129032258064516,0.41935483870967744,0.41935483870967744
