R:A::C:P,0,1 3,2 5,4
0,0.1,0.1,0.0375,0.0
1 3,0.125,0.175,0.1875,0.0
2 5,0.05,0.125,0.075,0.0
4,0.0,0.0,0.0125,0.0125
