R:A::C:P,0,1 3,2 5,4
0,0.36363636363636365,0.25,0.12,0.0
1 3,0.45454545454545453,0.4375,0.6,0.0
2 5,0.18181818181818182,0.3125,0.24,0.0
4,0.0,0.0,0.04,1.0
