R:A::C:P,0,1 3,2 5,4
0,0.42105263157894735,0.42105263157894735,0.15789473684210525,0.0
1 3,0.2564102564102564,0.358974358974359,0.38461538461538464,0.0
2 5,0.2,0.5,0.3,0.0
4,0.0,0.0,0.5,0.5
