R:A::C:P,0,1,2 3 5,4 6
0,0.43243243243243246,0.25675675675675674,0.20270270270270271,0.10810810810810811
1,0.24146981627296588,0.2650918635170604,0.2572178477690289,0.23622047244094488
2 3 5,0.1543340380549683,0.1543340380549683,0.427061310782241,0.2642706131078224
4 6,0.12284482758620689,0.08836206896551724,0.4331896551724138,0.35560344827586204
