R:A::C:P,0,1,2 6,3 4 5
0,0.07446808510638298,0.02127659574468085,0.023936170212765957,0.0398936170212766
1,0.125,0.08244680851063829,0.12234042553191489,0.11170212765957446
2 6,0.02925531914893617,0.05053191489361702,0.08776595744680851,0.09042553191489362
3 4 5,0.018617021276595744,0.0026595744680851063,0.04521276595744681,0.07446808510638298
