R:A::C:P,0 1,2,3,4 5,6
0 1,0.5362637362637362,0.1010989010989011,0.08131868131868132,0.189010989010989,0.09230769230769231
2,0.3236363636363636,0.14909090909090908,0.14181818181818182,0.24727272727272728,0.13818181818181818
3,0.27450980392156865,0.14705882352941177,0.14705882352941177,0.30392156862745096,0.12745098039215685
4 5,0.2485207100591716,0.15384615384615385,0.1893491124260355,0.3076923076923077,0.10059171597633136
6,0.21739130434782608,0.10230179028132992,0.14066496163682865,0.3145780051150895,0.22506393861892582
