R:A::C:P,0,1,2,3,4,5,p
0,8,8,1,0,1,0,1
1,9,14,10,2,0,1,0
2,3,7,6,2,0,0,1
3,0,0,3,0,0,0,0
4,0,0,1,0,1,0,0
5,0,1,0,0,0,0,0
p,1,0,1,0,0,0,0
