R:A::C:P,0,1,2,3,4,5,6,p
0,0,35,10,4,10,5,2,8
1,152,0,46,39,50,25,54,15
2,45,56,0,41,42,39,41,11
3,18,12,18,0,16,13,16,9
4,12,5,20,13,0,9,5,9
5,18,13,13,20,13,0,11,8
6,51,60,63,59,60,67,0,31
p,10,6,6,5,7,11,5,0
