R:A::C:P,0 2 4 5,1,3 6
0 2 4 5,0.3412698412698413,0.0873015873015873,0.05555555555555555
1,0.24603174603174602,0.1746031746031746,0.047619047619047616
3 6,0.015873015873015872,0.0,0.031746031746031744
