R:A::C:P,0,1 6,2 4,3 5
0,0.43243243243243246,0.28378378378378377,0.17567567567567569,0.10810810810810811
1 6,0.18264248704663213,0.3432642487046632,0.23834196891191708,0.23575129533678757
2 4,0.13505747126436782,0.28448275862068967,0.3074712643678161,0.27298850574712646
3 5,0.1717171717171717,0.23737373737373738,0.2727272727272727,0.3181818181818182
