R:A::C:P,0,1,2,3 4,5 6
0,0.40476190476190477,0.17857142857142858,0.08,0.18,0.14285714285714285
1,0.42857142857142855,0.6428571428571429,0.44,0.36,0.35714285714285715
2,0.09523809523809523,0.14285714285714285,0.32,0.24,0.42857142857142855
3 4,0.023809523809523808,0.03571428571428571,0.12,0.18,0.0
5 6,0.047619047619047616,0.0,0.04,0.04,0.07142857142857142
