R:A::C:P,0,1 3 5,2,4,6
0,0.022988505747126436,0.01939655172413793,0.005028735632183908,0.004310344827586207,0.0014367816091954023
1 3 5,0.09051724137931035,0.17672413793103448,0.04597701149425287,0.05675287356321839,0.04597701149425287
2,0.028017241379310345,0.08836206896551724,0.029454022988505746,0.02442528735632184,0.027298850574712645
4,0.005747126436781609,0.01939655172413793,0.011494252873563218,0.011494252873563218,0.004310344827586207
6,0.035201149425287355,0.11422413793103449,0.028735632183908046,0.039511494252873564,0.06321839080459771
