R:A::C:P,0,1 3 5,2,4,6
0,0.12598425196850394,0.04639175257731959,0.041666666666666664,0.031578947368421054,0.010101010101010102
1 3 5,0.49606299212598426,0.422680412371134,0.38095238095238093,0.41578947368421054,0.32323232323232326
2,0.15354330708661418,0.211340206185567,0.24404761904761904,0.17894736842105263,0.1919191919191919
4,0.031496062992125984,0.04639175257731959,0.09523809523809523,0.08421052631578947,0.030303030303030304
6,0.19291338582677164,0.27319587628865977,0.23809523809523808,0.2894736842105263,0.4444444444444444
