R:A::C:P,0,1 4,2,3 6,5
0,0.022988505747126436,0.017959770114942528,0.005028735632183908,0.0035919540229885057,0.0035919540229885057
1 4,0.07183908045977011,0.1235632183908046,0.039511494252873564,0.0668103448275862,0.02442528735632184
2,0.028017241379310345,0.0603448275862069,0.029454022988505746,0.05531609195402299,0.02442528735632184
3 6,0.04741379310344827,0.08405172413793104,0.039511494252873564,0.12284482758620689,0.0603448275862069
5,0.01221264367816092,0.01867816091954023,0.007183908045977011,0.021551724137931036,0.009339080459770116
