R:A::C:P,0,1 4,2,3 5 6
0,0.43243243243243246,0.33783783783783783,0.0945945945945946,0.13513513513513514
1 4,0.22026431718061673,0.3788546255506608,0.1211453744493392,0.27973568281938327
2,0.14181818181818182,0.3054545454545455,0.14909090909090908,0.4036363636363636
3 5 6,0.14091680814940577,0.2427843803056027,0.11035653650254669,0.5059422750424448
