R:A::C:P,0 2,1,3 4,5 6
0 2,0.3819444444444444,0.423728813559322,0.30851063829787234,0.4050632911392405
1,0.4722222222222222,0.5254237288135594,0.40425531914893614,0.3670886075949367
3 4,0.0763888888888889,0.01694915254237288,0.1702127659574468,0.10126582278481013
5 6,0.06944444444444445,0.03389830508474576,0.11702127659574468,0.12658227848101267
