                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    0-126-35-4   47.34%     45.40%     36.12%     18.94%  
                    01-26-35-4   44.68%     42.59%     35.11%     17.49%  
                    0-1-2356-4   38.30%     43.17%     33.84%     17.04%  
                    0-135-26-4   35.90%     40.84%     32.52%     12.61%  
                    0-14-26-35   35.64%     37.34%     34.22%     12.99%  
                    026-1-35-4   35.37%     39.04%     30.16%     10.59%  
                    0-1-246-35   35.37%     38.82%     33.96%     15.39%  
                    035-1-26-4   33.51%     39.56%     30.81%     12.95%  
                    04-1-26-35   32.45%     37.01%     31.81%     13.22%  
                    0-1-26-345   31.91%     38.05%     32.35%     13.98%  


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    0-126-35-4   47.34%     45.40%     36.12%     18.94%  
                    0-1-2356-4   38.30%     43.17%     33.84%     17.04%  
                    01-26-35-4   44.68%     42.59%     35.11%     17.49%  
                    0-135-26-4   35.90%     40.84%     32.52%     12.61%  
                    035-1-26-4   33.51%     39.56%     30.81%     12.95%  
                    026-1-35-4   35.37%     39.04%     30.16%     10.59%  
                    0-1-246-35   35.37%     38.82%     33.96%     15.39%  
                    0-1-26-345   31.91%     38.05%     32.35%     13.98%  
                    0-14-26-35   35.64%     37.34%     34.22%     12.99%  
                    04-1-26-35   32.45%     37.01%     31.81%     13.22%  


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    0-126-35-4   47.34%     45.40%     36.12%     18.94%  
                    01-26-35-4   44.68%     42.59%     35.11%     17.49%  
                    0-14-26-35   35.64%     37.34%     34.22%     12.99%  
                    0-1-246-35   35.37%     38.82%     33.96%     15.39%  
                    0-1-2356-4   38.30%     43.17%     33.84%     17.04%  
                    0-135-26-4   35.90%     40.84%     32.52%     12.61%  
                    0-1-26-345   31.91%     38.05%     32.35%     13.98%  
                    04-1-26-35   32.45%     37.01%     31.81%     13.22%  
                    035-1-26-4   33.51%     39.56%     30.81%     12.95%  
                    026-1-35-4   35.37%     39.04%     30.16%     10.59%  


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                    0-126-35-4   47.34%     45.40%     36.12%     18.94%  
                    01-26-35-4   44.68%     42.59%     35.11%     17.49%  
                    0-1-2356-4   38.30%     43.17%     33.84%     17.04%  
                    0-1-246-35   35.37%     38.82%     33.96%     15.39%  
                    0-1-26-345   31.91%     38.05%     32.35%     13.98%  
                    04-1-26-35   32.45%     37.01%     31.81%     13.22%  
                    0-14-26-35   35.64%     37.34%     34.22%     12.99%  
                    035-1-26-4   33.51%     39.56%     30.81%     12.95%  
                    0-135-26-4   35.90%     40.84%     32.52%     12.61%  
                    026-1-35-4   35.37%     39.04%     30.16%     10.59%  
