R:A::C:P,antag,fool,protag
antag,0.36666666666666664,0.10526315789473684,0.42105263157894735
fool,0.16666666666666666,0.7894736842105263,0.07894736842105263
protag,0.4666666666666667,0.10526315789473684,0.5
