R:A::C:P,0 1,2 3 4 6,5
0 1,0.5865724381625441,0.3838383838383838,0.3431372549019608
2 3 4 6,0.36395759717314485,0.5378787878787878,0.5392156862745098
5,0.04946996466431095,0.07828282828282829,0.11764705882352941
