R:A::C:P,0 1,2 3 4 6,5
0 1,0.4702549575070821,0.43059490084985835,0.09915014164305949
2 3 4 6,0.2776280323450135,0.5741239892183289,0.14824797843665768
5,0.24561403508771928,0.543859649122807,0.21052631578947367
