R:A::C:P,0 1 2,3 4 5,6
0 1 2,0.5830618892508144,0.2671009771986971,0.1498371335504886
3 4 5,0.33962264150943394,0.5283018867924528,0.1320754716981132
6,0.375,0.5625,0.0625
