R:A::C:P,0 6,1,2 4,3 5
0 6,0.4605263157894737,0.13157894736842105,0.25,0.15789473684210525
1,0.43373493975903615,0.18674698795180722,0.25301204819277107,0.12650602409638553
2 4,0.3157894736842105,0.17894736842105263,0.3473684210526316,0.15789473684210525
3 5,0.2564102564102564,0.02564102564102564,0.358974358974359,0.358974358974359
