R:A::C:P,0 2 3,1,4 5 6
0 2 3,0.1702944942381562,0.06658130601792574,0.14084507042253522
1,0.1613316261203585,0.08962868117797695,0.10755441741357234
4 5 6,0.0998719590268886,0.03201024327784891,0.13188220230473752
