R:A::C:P,0 3,1,2 4 6,5
0 3,0.3125,0.21212121212121213,0.2222222222222222,0.2222222222222222
1,0.4166666666666667,0.6666666666666666,0.3611111111111111,0.4444444444444444
2 4 6,0.22916666666666666,0.12121212121212122,0.3888888888888889,0.3333333333333333
5,0.041666666666666664,0.0,0.027777777777777776,0.0
