name,overall,average,f1,mcc
01-2-35-4-6,0.32471264367816094,0.289555696869434,0.2707705417169991,0.11668323857613783
01-2-3-4-56,0.3563218390804598,0.28424028146773433,0.27049348430921166,0.11246424474737074
01-23-4-5-6,0.33836206896551724,0.28153992241400444,0.2680027897524773,0.10960465475078152
01-24-3-5-6,0.33548850574712646,0.27025488588931135,0.26486245184638757,0.10260099855387572
01-25-3-4-6,0.3311781609195402,0.27834310480001623,0.26431409059792266,0.10443695620475571
01-2-34-5-6,0.319683908045977,0.276595621556619,0.26329321376031173,0.10725226954121594
01-2-36-4-5,0.3484195402298851,0.2773610755971825,0.263114421000768,0.10202774734706503
01-2-3-45-6,0.3160919540229885,0.2730339430390581,0.261030136930701,0.10408996220449333
01-2-3-46-5,0.34339080459770116,0.2646867167653172,0.25896201814581143,0.09257384613253888
01-26-3-4-5,0.35560344827586204,0.26974562389248125,0.24904407228632017,0.09184347473126221
015-2-3-4-6,0.34195402298850575,0.2627788951508153,0.24709501144105156,0.08553815933108544
014-2-3-5-6,0.34913793103448276,0.2559472797023948,0.24688112999428008,0.08628263934593247
013-2-4-5-6,0.34626436781609193,0.2620874417553082,0.2466350268297482,0.08559059492109464
012-3-4-5-6,0.39655172413793105,0.26041199535204196,0.24628647457990221,0.09020002062574736
016-2-3-4-5,0.39080459770114945,0.23865953459362604,0.2221757024331204,0.05019085664869799
