R:A::C:P,0,1 3,2,4 5,6
0,0.4117647058823529,0.2647058823529412,0.14705882352941177,0.14705882352941177,0.029411764705882353
1 3,0.2692307692307692,0.2692307692307692,0.18846153846153846,0.21153846153846154,0.06153846153846154
2,0.15315315315315314,0.36936936936936937,0.21621621621621623,0.17117117117117117,0.09009009009009009
4 5,0.18,0.24,0.14,0.26,0.18
6,0.16216216216216217,0.1891891891891892,0.10810810810810811,0.32432432432432434,0.21621621621621623
