R:A::C:P,0,1 3 5 6,2,4
0,0.40476190476190477,0.1232876712328767,0.08,0.3684210526315789
1 3 5 6,0.47619047619047616,0.5616438356164384,0.56,0.42105263157894735
2,0.09523809523809523,0.2876712328767123,0.32,0.05263157894736842
4,0.023809523809523808,0.0273972602739726,0.04,0.15789473684210525
