R:A::C:P,0,1 2,3 4,5
0,0.42105263157894735,0.42105263157894735,0.05263157894736842,0.10526315789473684
1 2,0.2545454545454545,0.5454545454545454,0.18181818181818182,0.01818181818181818
3 4,0.0,0.8,0.2,0.0
5,0.0,1.0,0.0,0.0
