R:A::C:P,0 1,2,3 6,4,5
0 1,0.5,0.27380952380952384,0.21010638297872342,0.29473684210526313,0.17647058823529413
2,0.18237704918032788,0.24404761904761904,0.2047872340425532,0.17894736842105263,0.2
3 6,0.23155737704918034,0.3273809523809524,0.45478723404255317,0.3684210526315789,0.49411764705882355
4,0.02663934426229508,0.09523809523809523,0.05053191489361702,0.08421052631578947,0.052941176470588235
5,0.05942622950819672,0.05952380952380952,0.0797872340425532,0.07368421052631578,0.07647058823529412
