R:A::C:P,0 1,2 3 4 5,6
0 1,0.5102040816326531,0.445578231292517,0.04421768707482993
2 3 4 5,0.28717948717948716,0.5897435897435898,0.12307692307692308
6,0.2702702702702703,0.5135135135135135,0.21621621621621623
