R:A::C:P,0 2 4,1 6,3,5
0 2 4,0.5,0.2323943661971831,0.11619718309859155,0.15140845070422534
1 6,0.4256410256410256,0.3564102564102564,0.11794871794871795,0.1
3,0.38,0.28,0.18,0.16
5,0.3684210526315789,0.2982456140350877,0.12280701754385964,0.21052631578947367
