R:A::C:P,0 1 2,3 4 6,5
0 1 2,0.6587301587301587,0.16666666666666666,0.07142857142857142
3 4 6,0.023809523809523808,0.05555555555555555,0.0
5,0.015873015873015872,0.007936507936507936,0.0
