R:A::C:P,0,1 4 5 6,2 3
0,0.12598425196850394,0.04040404040404041,0.028901734104046242
1 4 5 6,0.6535433070866141,0.6931818181818182,0.653179190751445
2 3,0.2204724409448819,0.26641414141414144,0.3179190751445087
