R:A::C:P,0,1 3 6,2 5,4
0,0.3939393939393939,0.14,0.0967741935483871,0.3333333333333333
1 3 6,0.42424242424242425,0.64,0.45161290322580644,0.4166666666666667
2 5,0.15151515151515152,0.2,0.41935483870967744,0.16666666666666666
4,0.030303030303030304,0.02,0.03225806451612903,0.08333333333333333
