R:A::C:P,0 3,1 5 6,2 4
0 3,0.09308510638297872,0.06648936170212766,0.05851063829787234
1 5 6,0.19680851063829788,0.19148936170212766,0.14095744680851063
2 4,0.05585106382978723,0.10904255319148937,0.08776595744680851
