R:A::C:P,0,1,2,3 4 5
0,0.42105263157894735,0.3684210526315789,0.05263157894736842,0.15789473684210525
1,0.2777777777777778,0.2777777777777778,0.3055555555555556,0.1388888888888889
2,0.21052631578947367,0.15789473684210525,0.3157894736842105,0.3157894736842105
3 4 5,0.0,0.16666666666666666,0.6666666666666666,0.16666666666666666
