R:C::C:G,0,1,2,3,4,5,6,7,p
0,0,74,0,0
1,13,354,0,14
2,16,241,0,18
3,13,78,0,11
4,6,60,0,7
5,3,85,0,8
6,42,287,6,56
7,3,23,0,4
p,0,43,0,7
