R:A::C:P,0,1,2,3,4,5,6
0,0,20,1,0,4,2,0
1,20,0,20,8,4,7,0
2,5,11,0,6,2,3,0
3,0,0,3,0,1,0,1
4,1,0,1,1,0,0,1
5,1,0,1,1,0,0,0
6,0,0,0,1,0,0,0
