R:A::C:P,0,1 2,3 5,4 6
0,0.3939393939393939,0.14545454545454545,0.08333333333333333,0.2857142857142857
1 2,0.5454545454545454,0.8,0.75,0.42857142857142855
3 5,0.030303030303030304,0.03636363636363636,0.125,0.14285714285714285
4 6,0.030303030303030304,0.01818181818181818,0.041666666666666664,0.14285714285714285
