R:A::C:P,0,1,2 5,3 4
0,0.36363636363636365,0.3333333333333333,0.12,0.08333333333333333
1,0.45454545454545453,0.47619047619047616,0.48,0.3333333333333333
2 5,0.18181818181818182,0.19047619047619047,0.24,0.5
3 4,0.0,0.0,0.16,0.08333333333333333
