R:A::C:P,0 3 6,1,2 4,5
0 3 6,0.45918367346938777,0.11224489795918367,0.30612244897959184,0.12244897959183673
1,0.536144578313253,0.18674698795180722,0.25301204819277107,0.024096385542168676
2 4,0.4105263157894737,0.17894736842105263,0.3473684210526316,0.06315789473684211
5,0.6470588235294118,0.0,0.17647058823529413,0.17647058823529413
