R:A::C:P,0 6,1,2,3,4 5
0 6,0.08365019011406843,0.030418250950570342,0.026615969581749048,0.017110266159695818,0.04182509505703422
1,0.1482889733840304,0.0817490494296578,0.07604562737642585,0.03612167300380228,0.08745247148288973
2,0.051330798479087454,0.03802281368821293,0.045627376425855515,0.039923954372623575,0.03612167300380228
3,0.015209125475285171,0.005703422053231939,0.017110266159695818,0.009505703422053232,0.017110266159695818
4 5,0.034220532319391636,0.0076045627376425855,0.013307984790874524,0.015209125475285171,0.024714828897338403
