R:A::C:P,0,1,2,3,4,5,6,7,p
0,21,14,7,2,6,3,1,6,0
1,34,65,16,12,19,1,11,4,4
2,7,23,21,6,10,5,7,2,0
3,0,6,6,2,3,4,0,0,1
4,1,2,3,2,5,0,1,0,0
5,3,4,1,4,1,1,2,1,0
6,1,4,4,1,4,2,0,0,0
7,1,2,0,0,0,0,0,2,0
p,6,1,2,1,1,0,1,0,0
