R:A::C:P,0 1 6,2 3 5,4
0 1 6,0.6690962099125365,0.5348837209302325,0.5842105263157895
2 3 5,0.3032069970845481,0.39147286821705424,0.33157894736842103
4,0.027696793002915453,0.07364341085271318,0.08421052631578947
