R:A::C:P,0 4 6,1 2 3,5
0 4 6,0.1882183908045977,0.13936781609195403,0.05890804597701149
1 2 3,0.24281609195402298,0.2478448275862069,0.05387931034482758
5,0.03017241379310345,0.029454022988505746,0.009339080459770116
