R:A::C:P,0 6,1 4,2 3 5
0 6,0.4605263157894737,0.2894736842105263,0.25
1 4,0.4222222222222222,0.3277777777777778,0.25
2 3 5,0.3,0.2916666666666667,0.4083333333333333
