R:A::C:P,0 6,1,2,3,4 5
0 6,0.37831858407079644,0.23504273504273504,0.27976190476190477,0.3258426966292135,0.37222222222222223
1,0.2920353982300885,0.43162393162393164,0.23214285714285715,0.19101123595505617,0.20833333333333334
2,0.17035398230088494,0.21367521367521367,0.24404761904761904,0.21910112359550563,0.18888888888888888
3,0.06637168141592921,0.04700854700854701,0.08928571428571429,0.08426966292134831,0.08611111111111111
4 5,0.09292035398230089,0.07264957264957266,0.15476190476190477,0.1797752808988764,0.14444444444444443
