R:A::C:P,0,1 2 5,3 6,4
0,0.4666666666666667,0.2833333333333333,0.13333333333333333,0.11666666666666667
1 2 5,0.23106060606060605,0.36742424242424243,0.2765151515151515,0.125
3 6,0.05263157894736842,0.5,0.18421052631578946,0.2631578947368421
4,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.5
