                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-126-3-4-5   45.21%     35.40%     28.24%     14.15%  
                   01-26-3-4-5   42.55%     33.15%     27.43%     12.99%  
                   0-14-26-3-5   33.51%     28.95%     26.72%     9.39%   
                   026-1-3-4-5   33.24%     30.31%     23.47%     7.47%   
                   0-1-246-3-5   33.24%     30.14%     26.51%     11.31%  
                   0-13-26-4-5   32.71%     35.20%     27.98%     12.75%  
                   0-1-236-4-5   32.45%     35.51%     27.75%     13.53%  
                   0-1-256-3-4   31.65%     34.57%     27.01%     12.92%  
                   04-1-26-3-5   30.32%     28.69%     24.79%     9.57%   
                   05-1-26-3-4   30.32%     33.66%     26.23%     12.01%  
                   0-1-26-35-4   30.05%     37.05%     28.85%     14.87%  
                   0-1-26-34-5   29.52%     32.29%     27.15%     12.33%  
                   03-1-26-4-5   28.99%     32.61%     25.45%     10.60%  
                   0-15-26-3-4   28.99%     33.02%     25.53%     9.75%   
                   0-1-26-3-45   28.19%     29.70%     25.29%     10.11%  


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-26-35-4   30.05%     37.05%     28.85%     14.87%  
                   0-1-236-4-5   32.45%     35.51%     27.75%     13.53%  
                   0-126-3-4-5   45.21%     35.40%     28.24%     14.15%  
                   0-13-26-4-5   32.71%     35.20%     27.98%     12.75%  
                   0-1-256-3-4   31.65%     34.57%     27.01%     12.92%  
                   05-1-26-3-4   30.32%     33.66%     26.23%     12.01%  
                   01-26-3-4-5   42.55%     33.15%     27.43%     12.99%  
                   0-15-26-3-4   28.99%     33.02%     25.53%     9.75%   
                   03-1-26-4-5   28.99%     32.61%     25.45%     10.60%  
                   0-1-26-34-5   29.52%     32.29%     27.15%     12.33%  
                   026-1-3-4-5   33.24%     30.31%     23.47%     7.47%   
                   0-1-246-3-5   33.24%     30.14%     26.51%     11.31%  
                   0-1-26-3-45   28.19%     29.70%     25.29%     10.11%  
                   0-14-26-3-5   33.51%     28.95%     26.72%     9.39%   
                   04-1-26-3-5   30.32%     28.69%     24.79%     9.57%   


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-26-35-4   30.05%     37.05%     28.85%     14.87%  
                   0-126-3-4-5   45.21%     35.40%     28.24%     14.15%  
                   0-13-26-4-5   32.71%     35.20%     27.98%     12.75%  
                   0-1-236-4-5   32.45%     35.51%     27.75%     13.53%  
                   01-26-3-4-5   42.55%     33.15%     27.43%     12.99%  
                   0-1-26-34-5   29.52%     32.29%     27.15%     12.33%  
                   0-1-256-3-4   31.65%     34.57%     27.01%     12.92%  
                   0-14-26-3-5   33.51%     28.95%     26.72%     9.39%   
                   0-1-246-3-5   33.24%     30.14%     26.51%     11.31%  
                   05-1-26-3-4   30.32%     33.66%     26.23%     12.01%  
                   0-15-26-3-4   28.99%     33.02%     25.53%     9.75%   
                   03-1-26-4-5   28.99%     32.61%     25.45%     10.60%  
                   0-1-26-3-45   28.19%     29.70%     25.29%     10.11%  
                   04-1-26-3-5   30.32%     28.69%     24.79%     9.57%   
                   026-1-3-4-5   33.24%     30.31%     23.47%     7.47%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-26-35-4   30.05%     37.05%     28.85%     14.87%  
                   0-126-3-4-5   45.21%     35.40%     28.24%     14.15%  
                   0-1-236-4-5   32.45%     35.51%     27.75%     13.53%  
                   01-26-3-4-5   42.55%     33.15%     27.43%     12.99%  
                   0-1-256-3-4   31.65%     34.57%     27.01%     12.92%  
                   0-13-26-4-5   32.71%     35.20%     27.98%     12.75%  
                   0-1-26-34-5   29.52%     32.29%     27.15%     12.33%  
                   05-1-26-3-4   30.32%     33.66%     26.23%     12.01%  
                   0-1-246-3-5   33.24%     30.14%     26.51%     11.31%  
                   03-1-26-4-5   28.99%     32.61%     25.45%     10.60%  
                   0-1-26-3-45   28.19%     29.70%     25.29%     10.11%  
                   0-15-26-3-4   28.99%     33.02%     25.53%     9.75%   
                   04-1-26-3-5   30.32%     28.69%     24.79%     9.57%   
                   0-14-26-3-5   33.51%     28.95%     26.72%     9.39%   
                   026-1-3-4-5   33.24%     30.31%     23.47%     7.47%   
