R:A::C:P,0 6,1,2 3 4 5
0 6,0.36774193548387096,0.11827956989247312,0.513978494623656
1,0.3464566929133858,0.2650918635170604,0.3884514435695538
2 3 4 5,0.27289377289377287,0.14285714285714285,0.5842490842490843
