R:A::C:P,0,1,2 4,3,5 6
0,0.40476190476190477,0.17857142857142858,0.20454545454545456,0.06451612903225806,0.14285714285714285
1,0.42857142857142855,0.6428571428571429,0.38636363636363635,0.3870967741935484,0.35714285714285715
2 4,0.11904761904761904,0.14285714285714285,0.29545454545454547,0.41935483870967744,0.42857142857142855
3,0.0,0.03571428571428571,0.09090909090909091,0.06451612903225806,0.0
5 6,0.047619047619047616,0.0,0.022727272727272728,0.06451612903225806,0.07142857142857142
