R:A::C:P,0,1,2 3,4 5,6
0,0.4117647058823529,0.17647058823529413,0.23529411764705882,0.14705882352941177,0.029411764705882353
1,0.29646017699115046,0.1902654867256637,0.2610619469026549,0.20353982300884957,0.048672566371681415
2 3,0.13793103448275862,0.15862068965517243,0.4068965517241379,0.19310344827586207,0.10344827586206896
4 5,0.18,0.08,0.3,0.26,0.18
6,0.16216216216216217,0.10810810810810811,0.1891891891891892,0.32432432432432434,0.21621621621621623
