R:A::C:P,0 4 6,1 2 3,5
0 4 6,0.28431372549019607,0.16326530612244897,0.32
1 2 3,0.6764705882352942,0.7959183673469388,0.56
5,0.0392156862745098,0.04081632653061224,0.12
