R:A::C:P,0 1,2 6,3 5,4
0 1,0.75,0.5238095238095238,0.46774193548387094,0.49122807017543857
2 6,0.19736842105263158,0.3142857142857143,0.2903225806451613,0.2807017543859649
3 5,0.039473684210526314,0.12380952380952381,0.22580645161290322,0.10526315789473684
4,0.013157894736842105,0.0380952380952381,0.016129032258064516,0.12280701754385964
