R:A::C:P,0 6,1,2,3,4,5
0 6,57,30,18,20,36,22
1,95,70,35,31,23,26
2,36,31,30,24,25,26
3,10,8,9,9,6,8
4,10,1,9,4,7,8
5,17,7,5,7,9,12
