R:A::C:P,0 6,1,2,3,4,5
0 6,0.3114754098360656,0.16393442622950818,0.09836065573770492,0.1092896174863388,0.19672131147540983,0.12021857923497267
1,0.3392857142857143,0.25,0.125,0.11071428571428571,0.08214285714285714,0.09285714285714286
2,0.20930232558139536,0.18023255813953487,0.1744186046511628,0.13953488372093023,0.14534883720930233,0.1511627906976744
3,0.2,0.16,0.18,0.18,0.12,0.16
4,0.2564102564102564,0.02564102564102564,0.23076923076923078,0.10256410256410256,0.1794871794871795,0.20512820512820512
5,0.2982456140350877,0.12280701754385964,0.08771929824561403,0.12280701754385964,0.15789473684210525,0.21052631578947367
