R:A::C:P,0 2 4,1,3,5
0 2 4,0.525,0.25,0.175,0.05
1,0.5833333333333334,0.2777777777777778,0.1111111111111111,0.027777777777777776
3,1.0,0.0,0.0,0.0
5,0.0,1.0,0.0,0.0
