R:A::C:P,0,1,2 5,3 4 6
0,0.43243243243243246,0.25675675675675674,0.16216216216216217,0.14864864864864866
1,0.24146981627296588,0.2650918635170604,0.1679790026246719,0.32545931758530183
2 5,0.1509433962264151,0.16711590296495957,0.2641509433962264,0.41778975741239893
3 4 6,0.13074204946996468,0.09187279151943463,0.28975265017667845,0.4876325088339223
