R:A::C:P,0,1,2 5,3 4 6
0,0.12598425196850394,0.0811965811965812,0.03550295857988166,0.019434628975265017
1,0.36220472440944884,0.43162393162393164,0.1893491124260355,0.21908127208480566
2 5,0.2204724409448819,0.26495726495726496,0.28994082840236685,0.27385159010600707
3 4 6,0.29133858267716534,0.2222222222222222,0.48520710059171596,0.4876325088339223
