R:A::C:P,0,1 4,2,3,5 6
0,0.40476190476190477,0.2553191489361702,0.08,0.06451612903225806,0.14285714285714285
1 4,0.4523809523809524,0.574468085106383,0.48,0.45161290322580644,0.35714285714285715
2,0.09523809523809523,0.10638297872340426,0.32,0.3548387096774194,0.42857142857142855
3,0.0,0.06382978723404255,0.08,0.06451612903225806,0.0
5 6,0.047619047619047616,0.0,0.04,0.06451612903225806,0.07142857142857142
