R:A::C:P,0,1,2,3,4,5,p
0,0.52,0.11538461538461539,0.08333333333333333,0.0,0.0,0.0,0.5
1,0.4,0.5,0.5,0.2,0.0,0.0,0.0
2,0.08,0.2692307692307692,0.2916666666666667,0.6,0.0,0.0,0.0
3,0.0,0.038461538461538464,0.08333333333333333,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.2,0.0,0.0,0.5
5,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0
p,0.0,0.038461538461538464,0.041666666666666664,0.0,0.0,0.0,0.0
