R:A::C:P,0,1,2,3,4,5,p
0,13,3,2,0,0,0,1
1,10,13,12,1,0,0,0
2,2,7,7,3,0,0,0
3,0,1,2,0,0,0,0
4,0,0,0,1,0,0,1
5,0,1,0,0,0,0,0
p,0,1,1,0,0,0,0
